movie_id,ratings,customer_id,star
619d1da261a9789154313af5,"{'customer_id': '91a66bfd-68e7-3dd8-90ed-e5c333c25004', 'stars': '5'}",91a66bfd-68e7-3dd8-90ed-e5c333c25004,5
619d1da261a9789154313af5,"{'customer_id': '7f043e0e-bbc5-3bc1-944b-dca59b47cd8e', 'stars': '4'}",7f043e0e-bbc5-3bc1-944b-dca59b47cd8e,4
619d1da261a9789154313af5,"{'customer_id': '69c05280-8225-39cd-9597-97f01545434a', 'stars': '4'}",69c05280-8225-39cd-9597-97f01545434a,4
619d1da261a9789154313af5,"{'customer_id': 'f9e59bda-5007-3a4f-a41b-7d3675960883', 'stars': '3'}",f9e59bda-5007-3a4f-a41b-7d3675960883,3
619d1da261a9789154313af5,"{'customer_id': 'd949ea1e-9779-357b-b3d0-6b1c2ecee1f8', 'stars': '4'}",d949ea1e-9779-357b-b3d0-6b1c2ecee1f8,4
619d1da261a9789154313af5,"{'customer_id': '8689d777-ddff-3d0d-bda0-bcb4a7ec1931', 'stars': '4'}",8689d777-ddff-3d0d-bda0-bcb4a7ec1931,4
619d1da261a9789154313af5,"{'customer_id': '70807974-8f69-3a70-a5ff-f7642ee0b3a2', 'stars': '3'}",70807974-8f69-3a70-a5ff-f7642ee0b3a2,3
619d1da261a9789154313af5,"{'customer_id': '312db7aa-4f67-3b4a-857d-b530342e2181', 'stars': '5'}",312db7aa-4f67-3b4a-857d-b530342e2181,5
619d1da261a9789154313af5,"{'customer_id': '58819425-2593-3568-97d1-7c6ebcdc8089', 'stars': '3'}",58819425-2593-3568-97d1-7c6ebcdc8089,3
619d1da261a9789154313af5,"{'customer_id': 'b64ee54b-8751-33c5-9475-cbbd06b7911b', 'stars': '5'}",b64ee54b-8751-33c5-9475-cbbd06b7911b,5
619d1da261a9789154313af5,"{'customer_id': '1fd6f98b-dc45-38c8-be7f-c0df9d102e14', 'stars': '3'}",1fd6f98b-dc45-38c8-be7f-c0df9d102e14,3
619d1da261a9789154313af5,"{'customer_id': '251ef9f5-b8cf-39d3-a0a2-21712d5f3ff8', 'stars': '4'}",251ef9f5-b8cf-39d3-a0a2-21712d5f3ff8,4
619d1da261a9789154313af5,"{'customer_id': '27fd8589-7091-3b74-8930-e47db42a743a', 'stars': '3'}",27fd8589-7091-3b74-8930-e47db42a743a,3
619d1da261a9789154313af5,"{'customer_id': 'd6b5fda2-e3ee-3387-a7df-9bec1b148c9b', 'stars': '4'}",d6b5fda2-e3ee-3387-a7df-9bec1b148c9b,4
619d1da261a9789154313af5,"{'customer_id': '395054ce-e0ad-39a5-a1e7-6ecee8ba47b5', 'stars': '4'}",395054ce-e0ad-39a5-a1e7-6ecee8ba47b5,4
